2025-12-23,cybersecurity government,Top six tech skills Nigerians need to stay relevant in 2026,"As Artificial Intelligence (AI), automation, and digital platforms reshape how work is done globally, new data show that the skillsread more Top six tech skills Nigerians need to stay relevant in 2026",https://businessday.ng/technology/article/top-six-tech-skills-nigerians-need-to-stay-relevant-in-2026/
2025-12-23,cybersecurity government,General : Malaysiaâs Strong Digital Infrastructure AttractsÂ investmentsÂ - FahmiÂ,"KUALA LUMPUR, Dec 23 (Bernama) -- Malaysia’s strong digital infrastructure as well as political and policy stability are driving technology and digital investments into the country, Communications Minister Datuk Fahmi Fadzil said.",http://www.bernama.com/en/news.php?id=2505439
2025-12-23,cybersecurity government,Chinese Hackers Use Anthropic’s Claude AI to Automate 90% of Cyber Espionage,"Chinese hackers used Anthropic's AI model Claude to automate 90% of a cyber espionage campaign targeting Western companies, banks, and governments in 2025. This highlights China's AI-driven attacks exploiting Western open innovation. Experts urge stronger safeguards, regulations, and AI defenses to counter escalating threats.",https://www.webpronews.com/chinese-hackers-use-anthropics-claude-ai-to-automate-90-of-cyber-espionage/
2025-12-23,cybersecurity government,OpenAI says AI browsers may always be vulnerable to prompt injection attacks | TechCrunch,"Even as OpenAI works to harden its Atlas AI browser against cyberattacks, the company admits that prompt injections, a typeThe post OpenAI says AI browsers may always be vulnerable to prompt injection attacks | TechCrunch appeared first on Daily News World News Turkish Turkey.",https://turks.us/openai-says-ai-browsers-may-always-be-vulnerable-to-prompt-injection-attacks-techcrunch/
2025-12-23,cybersecurity government,Italy Fines Apple €98.6M for Anticompetitive App Tracking Practices,"Apple's App Tracking Transparency (ATT) feature, designed to enhance user privacy by requiring consent for ad tracking, has faced global backlash. Italy fined Apple €98.6 million for anticompetitive practices favoring its ecosystem. Amid regulatory scrutiny in Europe, India, and the UK, Apple defends ATT as essential protection while appealing the decision.",https://www.webpronews.com/italy-fines-apple-e98-6m-for-anticompetitive-app-tracking-practices/
2025-12-23,cybersecurity government,NIST and MITRE Launch $20 Million AI Cybersecurity Centers,NIST and MITRE launch AI research centers for cybersecurity and manufacturing.The $20 million initiative emphasizes stakeholder involvement and practical solutions.Federal efforts aim to strengthen critical infrastructure against AI-enabled cyber threats.,https://newslinker.co/nist-and-mitre-launch-20-million-ai-cybersecurity-centers/
2025-12-23,cybersecurity government,OpenAI says AI browsers may always be vulnerable to prompt injection attacks,"OpenAI says prompt injections will always be a risk for AI browsers with agentic capabilities, like Atlas. But the firm is beefing up its cybersecurity with an 'LLM-based automated attacker.'",https://techcrunch.com/2025/12/22/openai-says-ai-browsers-may-always-be-vulnerable-to-prompt-injection-attacks/
2025-12-23,cybersecurity government,"NIST, MITRE announce $20 million research effort on AI cybersecurity","The effort includes a new research center that will bring government and industry experts together to study how AI will impact cybersecurity in critical infrastructure.The post NIST, MITRE announce $20 million research effort on AI cybersecurity appeared first on CyberScoop.",https://cyberscoop.com/nist-mitre-announce-20-million-dollar-research-effort-on-ai-cybersecurity/
2025-12-23,cybersecurity government,Microsoft Launches MahaCrimeOS AI to Fight Cybercrime in Maharashtra,"Microsoft has launched MahaCrimeOS AI in partnership with Maharashtra's government, an Azure-based platform to aid police in combating cybercrime and fraud. This initiative, part of broader AI expansions including OpenAI collaborations and security enhancements, positions Microsoft as a leader in AI-driven public safety and cybersecurity.",https://www.webpronews.com/microsoft-launches-mahacrimeos-ai-to-fight-cybercrime-in-maharashtra/
2025-12-23,cybersecurity government,"Egypt Ranks 22nd Globally in GovTech Maturity Index, Minister Says","Ahmed Kamel – Egypt Daily News Egypt has achieved a significant advancement in digital government development, ranking 22nd worldwide in the GovTech Maturity Index, according to a senior government official. Speaking on Monday, Minister of Communications and Information Technology Amr Talaat said the ranking reflects Egypt’s rapid progress in modernizing government services through digital transformation, [...]The post Egypt Ranks 22nd Globally in GovTech Maturity Index, Minister Says first appeared on Egypt Daily News - Egypt News.",https://egyptdailynews.com/egypt-ranks-22nd-globally-in-govtech-maturity-index-minister-says/
